institution,project_id,country,title,description,amount_original,original_currency,amount_eur,amount_usd,approval_date,approval_year,closing_date,status,sector,instrument_type,public_private,implementing_entity,source_url,financial_intermediary,guarantee_blended,eu_alignment,humanitarian_dev
CEB,,Serbia,Healthcare facilities renovation across Serbia,Borrower: Government. Line of Action: Investing in People,110000000.0,EUR,110000000.0,127512000.0,2026-03-16,2026.0,,Active,education,loan,public,Government,,no,no,yes,development
CEB,,Serbia,Agricultural and business microfinance,Borrower: 3 Banka a.d. Novi Sad. Line of Action: Jobs & Economic Inclusion,6000000.0,EUR,6000000.0,6955200.0,2026-01-30,2026.0,,Active,private sector development,loan,private,3 Banka a.d. Novi Sad,,yes,no,yes,development
CEB,,Serbia,Local roads renovation for rural connectivity,Borrower: Government. Line of Action: Inclusive Living Environments,200000000.0,EUR,200000000.0,209000000.0,2025-11-20,2025.0,,Active,social protection,loan,public,Government,,no,no,yes,development
CEB,,Serbia,New University Children's Hospital (Tiršova 2) in Belgrade,Borrower: Government. Line of Action: Investing in People,50000000.0,EUR,50000000.0,52250000.0,2025-10-01,2025.0,,Active,education,loan,public,Government,,no,no,yes,development
CEB,,Serbia,New prison complex to reduce overcrowding,Borrower: Government. Line of Action: Investing in People,25000000.0,EUR,25000000.0,27095000.0,2024-09-27,2024.0,,Active,education,loan,public,Government,,no,no,yes,development
CEB,,Serbia,"Microbusinesses in remote/rural areas, agricultural loans",Borrower: 3Bank JSC Novi Sad. Line of Action: Jobs & Economic Inclusion,6000000.0,EUR,6000000.0,6502800.0,2024-03-25,2024.0,,Active,private sector development,loan,private,3Bank JSC Novi Sad,,yes,no,yes,development
EIB,,Serbia,SUSTAINABLE IMPROVEMENT OF ROAD NETWORK,"Multi-scheme and multi-faceted investment programme aimed at improving the economic efficiency, climate resilience, road safety, environmental protection and social wellbeing with interventions focusing on rehabilitation, reconstruction and upgrade of local and national roads in Serbia.",150000000.0,EUR,150000000.0,156750000.0,2025-12-23,2025.0,,Active,transport,loan,public,,,no,no,yes,development
EIB,,Serbia,BELGRADE PALILULA SEWERAGE SYSTEM,"Development of the sewerage system in Palilula Municipality (Belgrade) located at the border of the Sava and Danube rivers with approximately 173,000 inhabitants.   The project will be implemented in the area where there are no systematic sewer network nor wastewater treatment (Banat, a part of Pali",35495008.0,EUR,35495008.0,37092283.0,2025-10-31,2025.0,,Active,water and sanitation,loan,public,,,no,no,yes,development
EIB,,Serbia,CLINICAL CENTERS PHASE II,"The Project comprises phase II of the reconstruction, extension and equipping of the Republic of Serbia-s  four Clinical Centres (multi-speciality university teaching hospitals) in Belgrade, Kragujevac, Nis and Novi Sad. It involves the new construction, refurbishment and completion of existing buil",157000000.0,EUR,157000000.0,164065000.0,2025-10-28,2025.0,,Active,health,loan,public,,,no,no,yes,development
EIB,,Serbia,EB SERBIA SOCIAL IMPACT INCENTIVE LOAN,A blended facility with Erste Bank AD Novi Sad aimed at supporting businesses in Serbia to foster gender equality and social inclusion,10000000.0,EUR,10000000.0,10450000.0,2025-09-09,2025.0,,Active,private sector development,loan,private,,,yes,no,yes,development
EIB,,Serbia,EB SERBIA SOCIAL IMPACT INCENTIVE LOAN,A blended facility with Erste Bank AD Novi Sad aimed at supporting businesses in Serbia to foster gender equality and social inclusion,1300000.0,EUR,1300000.0,1358500.0,2025-09-09,2025.0,,Active,private sector development,loan,private,,,yes,no,yes,development
EIB,,Serbia,RAILWAY NIS-DIMITROVGRAD,Modernization of the existing railway line Nis-Dimitrovgrad (aprox. 96 km) and construction of railway by-pass around Nis (aprox. 22 km).,100000000.0,EUR,100000000.0,104500000.0,2025-08-11,2025.0,,Active,transport,loan,public,,,no,no,yes,development
EIB,,Serbia,RAILWAY NIS-DIMITROVGRAD,Modernization of the existing railway line Nis-Dimitrovgrad (aprox. 96 km) and construction of railway by-pass around Nis (aprox. 22 km).,34411260.0,EUR,34411260.0,35959767.0,2025-03-28,2025.0,,Active,transport,loan,public,,,no,no,yes,development
EIB,,Serbia,EPS GREEN FINANCING,"Rehabilitation of several large hydropower plants, construction of a 13MW new hydro unit at Potpec HPP, development and implementation of greenfield renewables",100000000.0,EUR,100000000.0,108380000.0,2024-12-27,2024.0,,Active,energy,loan,public,,,no,no,yes,development
EIB,,Serbia,AIR TRAFFIC CONTROL UPGRADE II,"The project consists of the upgrade of SMATSAs current air navigation control software to a state of the art air traffic control system. This upgrade will enable the promoter to maintain the highest operational and safety and security standards in air traffic control, consistent with the EUROCONTROL",23000000.0,EUR,23000000.0,24927400.0,2024-12-23,2024.0,,Active,transport,loan,public,,,no,no,yes,development
EIB,,Serbia,SERBIAN INLAND WATERWAY INFRASTRUCTURE,"The project consists of several investments in the existing core Trans-European Transport (TEN-T) Rhine-Danube inland waterway network of the Republic of Serbia, along the Danube and Sava rivers, which aim at increasing the capacity and improving the efficiency and the safety of the inland waterway ",15850000.0,EUR,15850000.0,17178230.0,2024-07-17,2024.0,,Active,transport,loan,public,,,no,no,yes,development
EIB,,Serbia,SMART METERING SERBIA,The project concerns the installation of approx. 1.1 m advanced electricity meters in Serbia in the period 2024-2028 to replace the electromechanical ones and update related IT infrastructure. It is the first phase of the mass replacement in the country that amounts to approx. 3.7 m meters.,80000000.0,EUR,80000000.0,86704000.0,2024-06-28,2024.0,,Active,energy,loan,public,,,no,no,yes,development
EIB,,Serbia,UCBS IMPACT INCENTIVE LOAN FOR SMES & MID-CAPS,A loan facility with UniCredit Bank Srbija A.D. focused on supporting local businesses who commit to generate greater socio-economic impact and sustainable growth in Serbia.,2000000.0,EUR,2000000.0,2167600.0,2024-05-08,2024.0,,Active,private sector development,loan,private,,,yes,no,yes,development
EIB,,Serbia,ELECTRIC VEHICLES MANUFACTURING SERBIA,"The project concerns the promoter's investments at the Kragujevac plant (Serbia): (i) to upgrade, modernise and adapt the facility for the integration and deployment of advanced manufacturing technologies for the production of a new platform of electric vehicles (EV); (ii) to install PV equipment fo",73370000.0,EUR,73370000.0,79518406.0,2024-03-25,2024.0,,Active,private sector development,loan,public,,,no,no,yes,development
